Ages,Gender,Height,Weight,Activity Level,Dietary Preference,Daily Calorie Target,Protein,Sugar,Sodium,Calories,Carbohydrates,Fiber,Fat
32,Male,180.0,85.0,Moderately Active,Omnivore,2800.0,180.0,175.0,36.0,2840.0,350.0,42.0,80.0
55,Female,160.0,70.0,Sedentary,Vegetarian,1600.0,80.0,90.0,16.0,1490.0,180.0,21.6,50.0
62,Male,175.0,80.0,Moderately Active,Omnivore,2400.0,140.0,140.0,28.0,2310.0,280.0,33.6,70.0
28,Female,170.0,55.0,Sedentary,Vegan,1500.0,70.0,80.0,14.0,1280.0,160.0,19.2,40.0
38,Female,168.0,65.0,Lightly Active,Vegetarian,2000.0,90.0,110.0,18.0,1780.0,220.0,26.4,60.0
45,Female,172.0,75.0,Sedentary,Vegan,1700.0,80.0,95.0,16.0,1530.0,190.0,22.8,50.0
28,Female,165.0,55.0,Lightly Active,Omnivore,1800.0,75.0,100.0,15.0,1550.0,200.0,24.0,50.0
55,Male,180.0,90.0,Moderately Active,Vegetarian,2500.0,90.0,150.0,18.0,2190.0,300.0,36.0,70.0
62,Female,160.0,70.0,Moderately Active,Vegan,1800.0,70.0,110.0,14.0,1610.0,220.0,26.4,50.0
25,Male,185.0,95.0,Lightly Active,Omnivore,2800.0,120.0,190.0,24.0,2720.0,380.0,45.6,80.0
38,Male,178.0,80.0,Sedentary,Vegan,2200.0,85.0,140.0,17.0,2045.0,280.0,33.6,65.0
20,Female,168.0,50.0,Lightly Active,Omnivore,2200.0,90.0,150.0,18.0,2100.0,300.0,36.0,60.0
58,Male,175.0,85.0,Moderately Active,Vegetarian,2300.0,80.0,150.0,16.0,2150.0,300.0,36.0,70.0
25,Male,175.0,75.0,Moderately Active,Omnivore,2200.0,150.0,125.0,30.0,2140.0,250.0,30.0,60.0
55,Male,180.0,90.0,Sedentary,Omnivore,1800.0,120.0,100.0,24.0,1640.0,200.0,24.0,40.0
28,Female,170.0,65.0,Very Active,Omnivore,2500.0,180.0,150.0,36.0,2640.0,300.0,36.0,80.0
32,Male,185.0,85.0,Moderately Active,Vegan,2000.0,140.0,110.0,28.0,1890.0,220.0,26.4,50.0
68,Male,170.0,80.0,Lightly Active,Omnivore,1600.0,100.0,90.0,20.0,1480.0,180.0,21.6,40.0
72,Female,155.0,55.0,Sedentary,Omnivore,1400.0,70.0,80.0,14.0,1190.0,160.0,19.2,30.0
21,Male,190.0,95.0,Moderately Active,Omnivore,2400.0,160.0,140.0,32.0,2300.0,280.0,33.6,60.0
30,Female,165.0,65.0,Lightly Active,Vegetarian,2000.0,100.0,100.0,20.0,1740.0,200.0,24.0,60.0
55,Male,175.0,90.0,Sedentary,Omnivore,1800.0,90.0,90.0,18.0,1530.0,180.0,21.6,50.0
22,Female,170.0,55.0,Very Active,Vegan,2500.0,130.0,150.0,26.0,2350.0,300.0,36.0,70.0
60,Female,155.0,60.0,Moderately Active,Vegetarian,1600.0,70.0,80.0,14.0,1280.0,160.0,19.2,40.0
28,Male,190.0,100.0,Very Active,Omnivore,2800.0,150.0,175.0,30.0,2720.0,350.0,42.0,80.0
35,Female,160.0,50.0,Lightly Active,Vegan,1800.0,90.0,90.0,18.0,1530.0,180.0,21.6,50.0
48,Male,185.0,95.0,Moderately Active,Omnivore,2200.0,110.0,110.0,22.0,1860.0,220.0,26.4,60.0
19,Female,168.0,58.0,Very Active,Vegan,2300.0,120.0,140.0,24.0,2140.0,280.0,33.6,60.0
38,Female,165.0,68.0,Lightly Active,Vegetarian,1800.0,80.0,110.0,16.0,1650.0,220.0,26.4,50.0
22,Female,160.0,55.0,Very Active,Omnivore,2500.0,150.0,150.0,30.0,2475.0,300.0,36.0,75.0
62,Female,168.0,72.0,Sedentary,Vegan,1700.0,75.0,90.0,15.0,1380.0,180.0,21.6,40.0
28,Female,170.0,65.0,Lightly Active,Vegetarian,1600.0,70.0,90.0,14.0,1405.0,180.0,21.6,45.0
40,Male,185.0,90.0,Very Active,Omnivore,2500.0,130.0,140.0,26.0,2270.0,280.0,33.6,70.0
21,Female,168.0,58.0,Lightly Active,Vegan,1800.0,75.0,100.0,15.0,1550.0,200.0,24.0,50.0
58,Male,178.0,88.0,Sedentary,Omnivore,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
25,Female,165.0,58.0,Moderately Active,Omnivore,1800.0,100.0,100.0,20.0,1650.0,200.0,24.0,50.0
32,Male,180.0,85.0,Lightly Active,Omnivore,2500.0,150.0,150.0,30.0,2430.0,300.0,36.0,70.0
55,Female,160.0,70.0,Sedentary,Vegetarian,1500.0,80.0,75.0,16.0,1280.0,150.0,18.0,40.0
40,Male,190.0,95.0,Moderately Active,Vegan,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
68,Female,155.0,62.0,Sedentary,Vegan,1400.0,70.0,65.0,14.0,1115.0,130.0,15.6,35.0
28,Male,175.0,78.0,Very Active,Omnivore,3000.0,180.0,175.0,36.0,2840.0,350.0,42.0,80.0
35,Female,170.0,65.0,Lightly Active,Vegetarian,1900.0,90.0,100.0,18.0,1655.0,200.0,24.0,55.0
52,Male,185.0,100.0,Very Active,Vegan,2800.0,160.0,150.0,32.0,2560.0,300.0,36.0,80.0
22,Female,168.0,55.0,Moderately Active,Vegan,1600.0,80.0,90.0,16.0,1400.0,180.0,21.6,40.0
47,Male,178.0,80.0,Sedentary,Omnivore,2100.0,110.0,115.0,22.0,1900.0,230.0,27.6,60.0
28,Female,165.0,60.0,Lightly Active,Omnivore,1800.0,100.0,100.0,20.0,1740.0,200.0,24.0,60.0
55,Female,160.0,75.0,Sedentary,Vegan,1500.0,75.0,75.0,15.0,1260.0,150.0,18.0,40.0
62,Male,175.0,90.0,Moderately Active,Omnivore,2200.0,120.0,125.0,24.0,2110.0,250.0,30.0,70.0
40,Male,185.0,100.0,Lightly Active,Vegetarian,2800.0,120.0,175.0,24.0,2690.0,350.0,42.0,90.0
68,Female,155.0,65.0,Sedentary,Omnivore,1800.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
70,Male,170.0,85.0,Sedentary,Vegan,1700.0,80.0,90.0,16.0,1490.0,180.0,21.6,50.0
33,Female,168.0,70.0,Very Active,Omnivore,2200.0,100.0,125.0,20.0,2030.0,250.0,30.0,70.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2200.0,120.0,100.0,24.0,1820.0,200.0,24.0,60.0
55,Female,165.0,70.0,Sedentary,Vegetarian,1800.0,80.0,125.0,16.0,1770.0,250.0,30.0,50.0
68,Female,170.0,65.0,Lightly Active,Vegan,1500.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
58,Female,160.0,55.0,Sedentary,Vegan,1600.0,60.0,100.0,12.0,1400.0,200.0,24.0,40.0
35,Male,178.0,85.0,Lightly Active,Vegetarian,2000.0,100.0,90.0,20.0,1570.0,180.0,21.6,50.0
72,Male,175.0,75.0,Sedentary,Vegan,1700.0,70.0,105.0,14.0,1480.0,210.0,25.2,40.0
48,Female,168.0,68.0,Moderately Active,Omnivore,1900.0,80.0,115.0,16.0,1690.0,230.0,27.6,50.0
25,Male,180.0,85.0,Moderately Active,Omnivore,2200.0,150.0,125.0,30.0,2230.0,250.0,30.0,70.0
32,Female,165.0,60.0,Sedentary,Vegetarian,1800.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
55,Female,160.0,75.0,Lightly Active,Vegan,1900.0,85.0,110.0,17.0,1805.0,220.0,26.4,65.0
40,Male,185.0,95.0,Very Active,Omnivore,3000.0,200.0,175.0,40.0,3100.0,350.0,42.0,100.0
28,Female,170.0,70.0,Moderately Active,Vegetarian,2400.0,140.0,140.0,28.0,2400.0,280.0,33.6,80.0
35,Female,168.0,65.0,Moderately Active,Vegan,1900.0,90.0,110.0,18.0,1825.0,220.0,26.4,65.0
22,Male,190.0,90.0,Very Active,Omnivore,3200.0,220.0,190.0,44.0,3390.0,380.0,45.6,110.0
48,Female,172.0,78.0,Sedentary,Vegetarian,2000.0,95.0,115.0,19.0,1930.0,230.0,27.6,70.0
21,Male,183.0,82.0,Moderately Active,Vegan,2800.0,170.0,160.0,34.0,2770.0,320.0,38.4,90.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
32,Female,165.0,65.0,Lightly Active,Vegetarian,1800.0,80.0,110.0,16.0,1650.0,220.0,26.4,50.0
58,Male,175.0,95.0,Sedentary,Omnivore,1800.0,100.0,100.0,20.0,1650.0,200.0,24.0,50.0
28,Female,170.0,70.0,Very Active,Vegan,2500.0,150.0,150.0,30.0,2430.0,300.0,36.0,70.0
45,Male,185.0,105.0,Moderately Active,Omnivore,2000.0,110.0,110.0,22.0,1860.0,220.0,26.4,60.0
21,Female,168.0,55.0,Lightly Active,Vegetarian,2000.0,100.0,125.0,20.0,1940.0,250.0,30.0,60.0
68,Male,170.0,85.0,Sedentary,Omnivore,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
35,Female,172.0,68.0,Very Active,Vegan,2400.0,140.0,140.0,28.0,2310.0,280.0,33.6,70.0
25,Female,165.0,55.0,Lightly Active,Omnivore,1800.0,70.0,90.0,14.0,1450.0,180.0,21.6,50.0
58,Male,180.0,90.0,Moderately Active,Vegetarian,2500.0,90.0,125.0,18.0,1990.0,250.0,30.0,70.0
32,Female,170.0,65.0,Sedentary,Vegan,1500.0,60.0,75.0,12.0,1200.0,150.0,18.0,40.0
62,Male,175.0,85.0,Very Active,Omnivore,3000.0,120.0,150.0,24.0,2400.0,300.0,36.0,80.0
28,Female,160.0,50.0,Lightly Active,Vegan,2000.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
45,Male,185.0,100.0,Moderately Active,Omnivore,2200.0,100.0,110.0,20.0,1820.0,220.0,26.4,60.0
68,Female,162.0,60.0,Sedentary,Vegan,1800.0,70.0,90.0,14.0,1450.0,180.0,21.6,50.0
21,Female,172.0,58.0,Lightly Active,Vegetarian,1700.0,65.0,85.0,13.0,1345.0,170.0,20.4,45.0
55,Male,178.0,82.0,Moderately Active,Vegan,2400.0,90.0,120.0,18.0,1950.0,240.0,28.8,70.0
25,Male,180.0,85.0,Moderately Active,Omnivore,2000.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
55,Male,175.0,90.0,Sedentary,Omnivore,1800.0,100.0,100.0,20.0,1650.0,200.0,24.0,50.0
28,Male,190.0,100.0,Very Active,Omnivore,3000.0,180.0,175.0,36.0,2840.0,350.0,42.0,80.0
38,Male,185.0,95.0,Lightly Active,Omnivore,2800.0,160.0,150.0,32.0,2470.0,300.0,36.0,70.0
52,Female,165.0,65.0,Sedentary,Vegetarian,1400.0,70.0,75.0,14.0,1150.0,150.0,18.0,30.0
22,Female,170.0,55.0,Very Active,Vegan,2500.0,120.0,140.0,24.0,2140.0,280.0,33.6,60.0
48,Male,175.0,80.0,Moderately Active,Omnivore,2200.0,100.0,125.0,20.0,1940.0,250.0,30.0,60.0
25,Male,180.0,85.0,Moderately Active,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
38,Female,165.0,68.0,Sedentary,Vegetarian,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
55,Male,175.0,90.0,Lightly Active,Omnivore,2000.0,100.0,110.0,20.0,1775.0,220.0,26.4,55.0
62,Female,160.0,75.0,Sedentary,Vegan,1600.0,70.0,90.0,14.0,1405.0,180.0,21.6,45.0
68,Male,170.0,80.0,Lightly Active,Omnivore,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
21,Female,165.0,55.0,Very Active,Vegan,2200.0,100.0,125.0,20.0,1940.0,250.0,30.0,60.0
45,Male,185.0,95.0,Moderately Active,Omnivore,2000.0,100.0,110.0,20.0,1775.0,220.0,26.4,55.0
70,Female,155.0,60.0,Sedentary,Vegan,1400.0,60.0,80.0,12.0,1240.0,160.0,19.2,40.0
25,Female,165.0,58.0,Moderately Active,Omnivore,1800.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
32,Male,180.0,90.0,Lightly Active,Vegetarian,2500.0,120.0,150.0,24.0,2400.0,300.0,36.0,80.0
55,Female,160.0,65.0,Sedentary,Vegan,1500.0,60.0,75.0,12.0,1200.0,150.0,18.0,40.0
58,Male,178.0,80.0,Sedentary,Omnivore,2000.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
70,Female,162.0,68.0,Sedentary,Vegan,1400.0,50.0,70.0,10.0,1120.0,140.0,16.8,40.0
42,Male,190.0,100.0,Very Active,Vegetarian,3000.0,150.0,175.0,30.0,2810.0,350.0,42.0,90.0
25,Male,180.0,85.0,Moderately Active,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
62,Female,165.0,70.0,Lightly Active,Vegan,1800.0,70.0,100.0,14.0,1530.0,200.0,24.0,50.0
38,Male,190.0,95.0,Very Active,Omnivore,3000.0,180.0,175.0,36.0,2840.0,350.0,42.0,80.0
45,Female,170.0,65.0,Sedentary,Vegetarian,1600.0,80.0,90.0,16.0,1400.0,180.0,21.6,40.0
22,Female,160.0,55.0,Moderately Active,Vegan,1800.0,70.0,100.0,14.0,1530.0,200.0,24.0,50.0
58,Male,175.0,80.0,Moderately Active,Omnivore,2000.0,100.0,110.0,20.0,1820.0,220.0,26.4,60.0
28,Female,170.0,60.0,Sedentary,Vegetarian,1500.0,70.0,80.0,14.0,1280.0,160.0,19.2,40.0
68,Female,155.0,60.0,Lightly Active,Vegan,1700.0,60.0,90.0,12.0,1320.0,180.0,21.6,40.0
42,Male,180.0,80.0,Very Active,Omnivore,2600.0,150.0,140.0,30.0,2350.0,280.0,33.6,70.0
58,Male,175.0,95.0,Sedentary,Omnivore,1800.0,115.0,112.5,23.0,1855.0,225.0,27.0,55.0
28,Female,170.0,70.0,Very Active,Vegan,2500.0,150.0,150.0,30.0,2520.0,300.0,36.0,80.0
62,Female,160.0,75.0,Sedentary,Vegan,1600.0,80.0,100.0,16.0,1480.0,200.0,24.0,40.0
40,Male,185.0,90.0,Moderately Active,Omnivore,2800.0,175.0,175.0,35.0,2910.0,350.0,42.0,90.0
65,Male,170.0,80.0,Sedentary,Omnivore,1700.0,95.0,105.0,19.0,1670.0,210.0,25.2,50.0
38,Female,165.0,65.0,Lightly Active,Vegetarian,2000.0,120.0,100.0,24.0,1730.0,200.0,24.0,50.0
62,Female,160.0,70.0,Sedentary,Vegan,1800.0,80.0,110.0,16.0,1650.0,220.0,26.4,50.0
45,Male,190.0,95.0,Very Active,Omnivore,3000.0,200.0,175.0,40.0,2920.0,350.0,42.0,80.0
55,Male,175.0,80.0,Sedentary,Omnivore,1800.0,110.0,110.0,22.0,1770.0,220.0,26.4,50.0
22,Female,168.0,62.0,Lightly Active,Vegan,2000.0,100.0,125.0,20.0,1850.0,250.0,30.0,50.0
30,Male,180.0,78.0,Moderately Active,Omnivore,2500.0,180.0,150.0,36.0,2550.0,300.0,36.0,70.0
68,Male,170.0,75.0,Sedentary,Omnivore,1600.0,80.0,90.0,16.0,1400.0,180.0,21.6,40.0
25,Female,165.0,55.0,Lightly Active,Omnivore,1800.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
32,Male,180.0,85.0,Moderately Active,Omnivore,2800.0,150.0,150.0,30.0,2520.0,300.0,36.0,80.0
55,Female,160.0,68.0,Sedentary,Vegetarian,1500.0,70.0,75.0,14.0,1240.0,150.0,18.0,40.0
28,Male,190.0,95.0,Very Active,Vegan,3200.0,180.0,200.0,36.0,3220.0,400.0,48.0,100.0
62,Male,175.0,80.0,Lightly Active,Omnivore,2200.0,100.0,125.0,20.0,1940.0,250.0,30.0,60.0
21,Female,170.0,60.0,Moderately Active,Vegan,1600.0,70.0,90.0,14.0,1450.0,180.0,21.6,50.0
48,Female,168.0,75.0,Sedentary,Vegetarian,1800.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
35,Male,185.0,100.0,Very Active,Omnivore,3000.0,160.0,175.0,32.0,2850.0,350.0,42.0,90.0
40,Male,178.0,88.0,Moderately Active,Omnivore,2600.0,140.0,140.0,28.0,2400.0,280.0,33.6,80.0
32,Female,165.0,68.0,Lightly Active,Vegetarian,2000.0,100.0,125.0,20.0,1940.0,250.0,30.0,60.0
55,Male,175.0,95.0,Sedentary,Omnivore,2000.0,80.0,125.0,16.0,1860.0,250.0,30.0,60.0
40,Male,185.0,90.0,Moderately Active,Omnivore,2500.0,150.0,150.0,30.0,2520.0,300.0,36.0,80.0
22,Male,190.0,105.0,Very Active,Vegan,2800.0,130.0,175.0,26.0,2730.0,350.0,42.0,90.0
45,Male,178.0,82.0,Lightly Active,Omnivore,2300.0,110.0,135.0,22.0,2150.0,270.0,32.4,70.0
25,Female,165.0,58.0,Lightly Active,Omnivore,1800.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
32,Male,180.0,85.0,Moderately Active,Omnivore,2800.0,150.0,150.0,30.0,2520.0,300.0,36.0,80.0
58,Female,160.0,70.0,Sedentary,Vegetarian,1500.0,70.0,75.0,14.0,1240.0,150.0,18.0,40.0
65,Male,175.0,90.0,Lightly Active,Vegan,2200.0,80.0,125.0,16.0,1860.0,250.0,30.0,60.0
28,Female,162.0,55.0,Sedentary,Vegetarian,1600.0,65.0,90.0,13.0,1385.0,180.0,21.6,45.0
62,Male,170.0,80.0,Moderately Active,Vegan,2000.0,75.0,110.0,15.0,1675.0,220.0,26.4,55.0
21,Female,158.0,48.0,Lightly Active,Omnivore,1500.0,60.0,85.0,12.0,1325.0,170.0,20.4,45.0
55,Male,178.0,88.0,Sedentary,Vegetarian,1900.0,70.0,100.0,14.0,1575.0,200.0,24.0,55.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2000.0,120.0,90.0,24.0,1650.0,180.0,21.6,50.0
32,Female,165.0,65.0,Sedentary,Vegetarian,1800.0,80.0,110.0,16.0,1740.0,220.0,26.4,60.0
55,Female,160.0,75.0,Lightly Active,Vegan,1600.0,70.0,75.0,14.0,1240.0,150.0,18.0,40.0
40,Male,190.0,95.0,Very Active,Omnivore,3000.0,180.0,135.0,36.0,2520.0,270.0,32.4,80.0
62,Male,175.0,85.0,Sedentary,Omnivore,2200.0,100.0,100.0,20.0,1830.0,200.0,24.0,70.0
35,Male,185.0,110.0,Very Active,Omnivore,2500.0,150.0,100.0,30.0,1940.0,200.0,24.0,60.0
22,Female,160.0,50.0,Lightly Active,Vegan,2200.0,100.0,110.0,20.0,1820.0,220.0,26.4,60.0
58,Female,155.0,60.0,Sedentary,Vegan,1500.0,60.0,65.0,12.0,1120.0,130.0,15.6,40.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2200.0,120.0,100.0,24.0,1820.0,200.0,24.0,60.0
32,Female,165.0,65.0,Lightly Active,Vegetarian,1800.0,80.0,90.0,16.0,1490.0,180.0,21.6,50.0
28,Female,170.0,72.0,Very Active,Vegan,2600.0,130.0,140.0,26.0,2270.0,280.0,33.6,70.0
62,Female,160.0,60.0,Sedentary,Vegan,1600.0,60.0,75.0,12.0,1200.0,150.0,18.0,40.0
38,Male,190.0,105.0,Moderately Active,Omnivore,3000.0,160.0,150.0,32.0,2650.0,300.0,36.0,90.0
40,Male,178.0,85.0,Very Active,Vegan,2400.0,120.0,110.0,24.0,1900.0,220.0,26.4,60.0
27,Female,172.0,68.0,Moderately Active,Omnivore,1900.0,90.0,90.0,18.0,1530.0,180.0,21.6,50.0
58,Male,182.0,100.0,Lightly Active,Vegan,2200.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
32,Female,165.0,65.0,Sedentary,Vegetarian,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
58,Female,160.0,70.0,Lightly Active,Vegan,1600.0,70.0,90.0,14.0,1360.0,180.0,21.6,40.0
62,Male,175.0,85.0,Lightly Active,Vegetarian,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
38,Female,170.0,75.0,Moderately Active,Vegan,2000.0,80.0,110.0,16.0,1740.0,220.0,26.4,60.0
55,Female,155.0,60.0,Sedentary,Vegan,1400.0,60.0,80.0,12.0,1150.0,160.0,19.2,30.0
70,Male,170.0,75.0,Lightly Active,Omnivore,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
